trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
105,False,"{'a': 0.9, 'e': 0.6852769615367748}",20,0,-46.292652901784216,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
106,False,"{'a': 0.9, 'e': 0.6830134553650707}",25,17,-47.26300781806044,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 1}",1
107,False,"{'a': 0.9, 'e': 0.6807611454214728}",25,0,-66.90526316605138,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
108,False,"{'a': 0.9, 'e': 0.6785199579860443}",20,0,-47.11633360587046,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
109,False,"{'a': 0.9, 'e': 0.6762898199445984}",25,15,-27.428253165975125,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 0}",1
110,False,"{'a': 0.9, 'e': 0.6740706587827363}",20,0,-36.40560097877227,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
111,False,"{'a': 0.9, 'e': 0.6718624025799517}",20,2,-14.792815051878643,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
112,False,"{'a': 0.9, 'e': 0.6696649800038038}",35,0,-115.49134456381329,"{0: 22, 1: 4, 2: 8, 3: 0, 4: 1}",0
113,False,"{'a': 0.9, 'e': 0.6674783203041565}",25,14,-21.394596415061578,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 0}",1
114,False,"{'a': 0.9, 'e': 0.6653023533074842}",30,0,-188.24823594943626,"{0: 18, 1: 1, 2: 7, 3: 1, 4: 3}",0
115,False,"{'a': 0.9, 'e': 0.6631370094112404}",20,13,-32.70849399036351,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
116,False,"{'a': 0.9, 'e': 0.6609822195782934}",35,16,-66.73615492533585,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 1}",1
117,False,"{'a': 0.9, 'e': 0.6588379153314218}",25,2,-139.98576695487978,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 3}",1
118,False,"{'a': 0.9, 'e': 0.6567040287478756}",20,0,-127.76600135154986,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
119,False,"{'a': 0.9, 'e': 0.6545804924539961}",25,0,-96.3658845331799,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
120,False,"{'a': 0.9, 'e': 0.6524672396198987}",25,0,-113.68497910903793,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
121,False,"{'a': 0.9, 'e': 0.6503642039542143}",20,0,-33.91372576793391,"{0: 15, 1: 4, 2: 0, 3: 0, 4: 1}",0
